,unique_id,city,job_qry,job_title,company_name,location,summary,salary,rating,link,date,full_text
1,pj_00ae57ffa8e1b5ad,Berlin,data+analyst,Senior Data Analyst,Zalando Marketing Services,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,/pagead/clk?mo=r&ad=-6NYlbfkN0ADl5gbPoHEwlCIPoer3Nv39ngWYxTyCz-Q5e5dOYq4vjbI6uwyqH1wBDp6IoPcBlU4xBi0tO6weaFG1TIc-Ei3XYpnbv4zkRKXUPRiNmlCqwbAWDm0kBP4rPW5059ZKB1kOyXb44QEjcXYK0IXG1a0gHBux6Uv8nBRnTEZ9Xfun-0NLOxjXxKIWRigbNH1ScgTJjJiXiafa9zxgvoaT3gJa_ynrW9FsqChVNG7SsweccOOdHzLkovGEKSwqoVqUJk9pEChfdA9giLAH6kytgzoiq7tLcpTu3-IGgYQTYQJeYq2uPCU_tx1qoqjTGTw6ZbQ8oSfLFluZPar-xD7nht-LR6Y1lm32bDgPL-7_b-sqc6WY-sIUcw7hK_1pB9dt6Jc48NbZL81HFdURPKLeGfJSU6ZfXQOeGI=&p=0&fvj=0&vjs=3,Vor mehr als 30 Tagen,NOT_FOUND
2,pj_fb35711a9fb43790,Berlin,data+analyst,Data Analyst - Convenience Proposition Analytics,Zalando SE,NOT_FOUND,NOT_FOUND,NOT_FOUND,"
3,2




",/pagead/clk?mo=r&ad=-6NYlbfkN0ADl5gbPoHEwlCIPoer3Nv39ngWYxTyCz-Q5e5dOYq4vjbI6uwyqH1wBDp6IoPcBlWiDtHQ6QKz_yQqWRGkLXPR7FyAWr_NtRXjkBOHvzaUsEdY_aK9X9MnN9oSXn3LiEUs3gGjW6Sd2-w0cNj56Nz7ajjAAZ0aMPdXQ9pYPr0ByGsI--pN1klZm2MpUfOmz0ldteILgkHUtRoVnxeGUdkKMPJvSQRT0wovKYuP3nADX_mMryuFQgOLmA-BppsbSCAVnzROwX35g4Ok6UyNhbT8Rqw3M5xXziGsrpXyOT0MXnfPqNNuW_T3wtswX8zQ7K7XFmUwDqZPQVwVDw01gXcg5a5WD8c57SHN2hH5dC4fYjOJiUiwcHYTTaJexSyUayk33zG62VmtV161O_s0enUx&p=1&fvj=0&vjs=3,Vor mehr als 30 Tagen,NOT_FOUND
3,pj_18db99831baa75f6,Berlin,data+analyst,Product Analyst - Personalized Marketing,Zalando SE,NOT_FOUND,NOT_FOUND,NOT_FOUND,"
3,2




",/pagead/clk?mo=r&ad=-6NYlbfkN0ADl5gbPoHEwlCIPoer3Nv39ngWYxTyCz-Q5e5dOYq4vjbI6uwyqH1wBDp6IoPcBlXq1_HpRJGGtlk96FqwEVPcyWq7HzcYUSYmug8gizqcap2dT7VAFQovm2Zaii2vkUPH87-eotEZ9MOC2vgTJq9AydRtGPtiZPwUZ1RnJSljaQBrVquos3QdSuqTPYhOmhl_f6T7EADlQ0cVB6GOg6H9hAQPK_3ob-9XF72f8kgr1SIgibppNqbig2t8UOV0uTA2AOEgq3wm1RvPHK96njcNvHaCPUzQpYYhTksMjIpbVTnLowCKvTZFYoiGtqyXPX8Te3DlF7WImXovf1OZsgfdMrq8Le-me9HIbonq92thxavMq35MoCfiFsXAM1N5h_vAJ-Iq4FwMHfzxdkZSVRpM1C2c05ZEz7M=&p=2&fvj=0&vjs=3,Vor mehr als 30 Tagen,NOT_FOUND
4,pj_e3d505ac6bac6645,Berlin,data+analyst,Pricing Data Analyst,Zalando SE,NOT_FOUND,NOT_FOUND,NOT_FOUND,"
3,2




",/pagead/clk?mo=r&ad=-6NYlbfkN0ADl5gbPoHEwlCIPoer3Nv39ngWYxTyCz-Q5e5dOYq4vjbI6uwyqH1wBDp6IoPcBlX2kqObBLYDFcOxkrEJdZyc6wZr7BGvgJPd0w6EQLY2BcbKrBpnXcpmUU5dRMw9VOAJvTfL3nKJKPnpwrMlTxIrl1qs_vZBzxxa-d7VHmCqepg68Vk1UZG2Ctu-4GFePj2L_k6bwkX3WcdI3b9AuxW7IMxiexg07ygmbJw7LXqrEdYZa0-L-HNqil58-QRpjysrnhk4UH5auMukbC9tGeiTX6w_XOFAcQt9T9b_bFF5hZ4Tbp6B3nIxAAXeoSPegOatnb6xhwoOo2w8wuCIS8cZ5vCIYx44j995cIvw1ZWfBArY10lDgMir5L1ide2H4bJouRSGscnQ_UMzg-849NYr&p=3&fvj=0&vjs=3,Vor mehr als 30 Tagen,NOT_FOUND
5,p_a9b68595e10a684d,Berlin,data+analyst,Data Analyst,Fy,Berlin,NOT_FOUND,NOT_FOUND,NOT_FOUND,/rc/clk?jk=a9b68595e10a684d&fccid=29b06d4069a01f6a&vjs=3,Vor mehr als 30 Tagen,NOT_FOUND
6,p_dc74b3b494532098,Berlin,data+analyst,Data Analyst,sennder,Berlin,NOT_FOUND,NOT_FOUND,NOT_FOUND,/rc/clk?jk=dc74b3b494532098&fccid=d1c83d413f5ece45&vjs=3,Vor mehr als 30 Tagen,NOT_FOUND
7,p_5526321dcebbd377,Berlin,data+analyst,Data Analyst (m/f/d),Cortado Holding AG,Berlin,NOT_FOUND,NOT_FOUND,NOT_FOUND,/rc/clk?jk=5526321dcebbd377&fccid=d99cd78d8f093e6a&vjs=3,vor 26 Tagen,NOT_FOUND
8,p_a282043b5f75419c,Berlin,data+analyst,Data Analyst,Dalia Research GmbH,Berlin,NOT_FOUND,NOT_FOUND,NOT_FOUND,/rc/clk?jk=a282043b5f75419c&fccid=a78be685dfa45884&vjs=3,Vor mehr als 30 Tagen,NOT_FOUND
9,p_d92b4eed7485b716,Berlin,data+analyst,Marketing Data Analyst,Pandata,Berlin,NOT_FOUND,NOT_FOUND,NOT_FOUND,/rc/clk?jk=d92b4eed7485b716&fccid=1cbc752a8048ceb3&vjs=3,Vor mehr als 30 Tagen,NOT_FOUND
10,p_f995460690da4377,Berlin,data+analyst,Data Analyst (f/m/div),Penta,Berlin,NOT_FOUND,NOT_FOUND,NOT_FOUND,/rc/clk?jk=f995460690da4377&fccid=abe82c18b38342b3&vjs=3,vor 23 Tagen,NOT_FOUND
