,Unnamed: 0.1,Job_title,Company_name,Job_description,language,stopwords,word_count,char_count
0,1,Senior Data Analyst,Zalando Marketing Services,insights digital data analyst role provides datadriven value brand partners well internally goto person analytics team well consultants comes transactional onsite data analysis opportunity part forefront team shape new business venture personally grow insights datadriven zalando offer enabling clients fashion industry gain holistic understanding business consumers offer includes projectbased consulting services selfservice web interfaces expertise needed work consulting projects scoping extracting analyzing interpreting transactional onsite data derive relevant insights together consultants develop new analytical products eg predictive modeling build minimum viable products mvps order test clients eventually integrated selfservice web interfaces evolve standalone product analyze success selfservice web interfaces terms usage user preferences derive recommendations improvement responsible monitoring improving data quality analyzing data various sources coordinating internal teams reviewing calculation methods looking expert sql comfortable work large volumes transactional onsite consumer data enjoy working commercial context experience defining modeling testing evolving analytical models direct impact business realities special focus models concerning customers eg customer management segmentation value etc plus possess relevant professional experience analytics controlling industries ebusiness retail consultancy market research able communicate precisely results extensive knowledge respective tools methods preferably sql google analytics bigquery python combined good mathematical statistical foundations experience forecasting predictive models would plus comfortable working combining cleaning massive datasets advanced skills data visualization perks work culture trust empowerment constructive feedback open source commitment meetups game nights 70 internal technical fun guilds knowledge sharing tech talks internal tech academy blogs product demos parties events competitive salary employee share shop 40 zalando shopping discount discounts external partners centrally located offices public transport discounts municipality services great equipment flexible working times additional holidays volunteering time free beverages fruits diverse sports health offerings extensive onboarding mentoring personal development opportunities international team experts relocation assistance internationals pme family service parent child rooms available select locations celebrate diversity committed building teams represent variety backgrounds perspectives skills employment decided basis qualifications merit business need zalando marketing services zalando marketing services zms 360 marketing unit europe leading online platform fashion lifestyle zalando work worlds largest fashion lifestyle brands provide impactful solutions across marketing touchpoints access relevant audiences indepth data knowledge well inspiring creation content zms create meaningful connections brands consumers deep understanding personalities work brands agencies publishers fashion beyond produce innovative impactful campaigns reach right audience right moment thanks holistic mix cuttingedge privacy compliant technology indepth audience insights expansive reach compelling content brands produce successful campaigns across multiple digital marketing channels information check link httpszmszalandocom visit tech radar check opensource projects please note applications must completed english using online form accept applications via email,English,233,636,4576
1,2,Data Analyst - Convenience Proposition Analytics,Zalando SE,data analyst convenience proposition analytics team regularly benchmarking zalandos fulfillment proposition supporting investment decisions enable evidencebased decisions data analysis expertise optimizing postcheckout experience international scale enjoy examining large amounts data uncover hidden patterns trends surface insights exciting stories based beautiful visualizations join us opportunities make personal impact limitless expertise neede collect benchmarking data lead statistical analyses help business make better decisions understand solve business challenges achieve operational excellence fluent business processes work collaboration software engineering analytics product internal teams resources enable datasupported decision making identify gaps create strategies help us teams scale looking analytical entrepreneurial mindset passion pioneering new operations ground technical commercial perspective businessdata analyst handson experience statistical research techniques linearnonlinear regression timeseries modeling sample size estimation statistical tests etc experience data engineering etls data modeling data visualization high fluency pythonr sql excellent collaboration skills working fastpaced dynamic team environment perks work workplace run trust empowerment feedback positive inspiring working atmosphere competitive salary employee share shop 40 zalando shopping discount discounts external partners centrally located offices public transport discounts municipality services great equipment flexible working times additional holidays volunteering time free beverages fruits diverse sports health offerings mentoring personal development opportunities international team experts relocation assistance internationals pme family service parent child rooms available select locations celebrate diversity committed building teams represent variety backgrounds perspectives skills employment decided basis qualifications merit business need zalando zalando europes leading online platform fashion connecting customers brands partners across 17 markets drive digital solutions fashion logistics advertising research bringing headtotoe fashion 23 million active customers diverse skillsets interests languages teams choose use,English,114,359,2771
2,3,Data Analyst - Content Attribution,Zalando SE,product analyst team attribution part highimpact team plays pivotal role optimizing zalandos onsite content build attribution models quantifying financial impact zalandos inspirational features campaigns empowering biggest client partners well internal stakeholders analyze media content zalando web appbased realtime data primary role would involve deepdiving vast data sources develop creative solutions analyses providing insights stakeholders expertise needed work large complex data sets applying advanced analytical methods solve challenging use cases customer problems develop automate reports iteratively build prototype dashboards provide insights scale solving business priorities responsible conducting data analysis make business recommendations building impactful data visualizations experience formulating product questions pulling data datasets sql using statistics answer business questions looking babs masters degree quantitative field statistics computer science mathematics data sciences 3 years experience dataintensive analytics role digital analytics product analytics business intelligence strong proficiency sql based languages experience bigquery python plus excellent communication presentation skills nice knowledge statistical packages pythonr etc google analytics certificationexperience perks work culture trust empowerment constructive feedback open source commitment meetups game nights 70 internal technical fun guilds knowledge sharing tech talks internal tech academy blogs product demos parties events competitive salary employee share shop 40 zalando shopping discount discounts external partners centrally located offices public transport discounts municipality services great equipment flexible working times additional holidays volunteering time free beverages fruits diverse sports health offerings extensive onboarding mentoring personal development opportunities international team experts celebrate diversity committed building teams represent variety backgrounds perspectives skills employment decided basis qualifications merit business need zalando zalando europes leading online platform fashion connecting customers brands partners across 17 markets drive digital solutions fashion logistics advertising research bringing headtotoe fashion 23 million active customers diverse skillsets interests languages teams choose use within zalando digital experience dx work many autonomous teams live standards software craftsmanship ownership excellence along guiding set principles entrust team shape future zalando please note applications must completed using online form accept applications via email,English,136,439,3272
3,4,Data Analyst,Fy,data analyst fy passionate using technology data help people discover things love marketplace platform connects people exciting lifestyle products brands designers around world personalised serendipitous shopping experience role believe making datadriven decisions searching talented curious data analyst help discover understand hidden patterns data drive growth improve marketplace experience shoppers brands alike realworld problems realtime recommendation personalised shopping visual search price forecasting trend analysis natural language processing text search reinforcement learning modern experiment design statistical analysis sound like thing wed love hear fulltime role located berlin germany remote work currently available position sorry responsibilities curate terabytescale data sets derive insights deepdive analyses bringing analytical modelling bear data sets span sale supplyside marketing logistics shopper journeys design build data visualisations including reports dashboards analyses empower multiteam stakeholders fy make datainfluenced decisions collaborate design analysis rigorous statistical tests communicate quantitative findings teams actionable ways requirements bachelors masters physics mathematics statistics economics computer science quantitative discipline field strong academic record curious analytical mind demonstrated track record innovative problem solving handson experience conducting quantitative analyses large data sets academic commercial setting coursework experience python r scripting languages experience sql plus familiarity modern software development practices tools eg git unit testing docker cloud platforms participation moocs eg coursera fastai httpfastai udacity kaggle competitions plus strong written verbal communication english flexibility adaptability work fastpaced startup offer tech team composed experienced generalists domain experts able take complex interdisciplinary problems want part excited opportunity mentoring broad opportunities expand role choice hardware screens etc conference learning budget support giving talks presentations open source ethos free plentiful five elephant coffee familyfriendly office hours working culture established business clear pathway resources grow generous staff discount fill home awesome designer gear absolute bare minimum meetings prepare clear calendar want work specific way flexible want comfortable happy productive part team,English,156,425,3158
4,5,Marketing Data Analyst,Pandata,marketing data analyst use expertise determine web mobile app data needs captured help implement needed drive marketing decisions optimization already experience online marketing firm understanding underlying concepts knowledge html javascript programming languages ability work well team different client stakeholders solid communication skills english want master tools drive online marketing understand marketing data generated quality tested analyzed develop expand technical skill set deeply understand websites mobile apps work learn know variety interesting client projects cases tasks develop web mobile app tracking strategies solutions clients directly work clients developers marketing stakeholders implement data solutions understand business cases requirements translate technical solutions work web mobile app tracking tools like google analytics firebase google tag manager segment adobe analytics many,English,69,170,1200
5,6,Data Analyst,Dalia Research GmbH,founded 2013 headquartered berlin dalia harnesses app economy advanced data science distribute millions microsurveys worldwide use realtime data gather analyze consumer attitudes public opinion market trends backed europes leading venture capital firms dalia generated billion answers people spread across 100 countries resulting data cited 2000 news articles globally looking data analyst lead data generation delivery process dalias research projects global corporations civil society organizations journey awaits data analyst process automation work crossfunctionally supporting data science research project management teams turning raw data insights drive strategic business product development decisions grow hard skills data science part team offers teaching mentoring multiple programming languages software kits guardian quality clean data global research projects 100 countries explore public opinion billions people turn information insights generate headlines 1000 news outlets opportunity develop programming skills grow person dalia yearly education fund spend selfdevelopment learning german going conferences personal coaching challenge collaborate research project management data science teams plan monitor tackle aspects data generation delivery process dalias research projects clients take ownership proactively identify opportunities automate steps data generation delivery process get hands dirty data transform clean convert raw datasets public opinion insights client projects profile includes data wrangling experience data extraction transformation analysis using statistical software package eg excel spss python r experience working relational databases mysql nosql databases mongodb plus proven experience working fastpaced project environment tight deadlines strong communicator able communicate effectively adapt communication style working crossfunctionally focused optimizing processes always looking ways make methodology agile dalia research committed providing respectful safe welcoming environment everyone works us regardless gender identity expression sexual orientation disability physical appearance body size race age religion lack thereof,English,155,412,2858
6,7,Junior Data Analyst (f/m/d),Kolibri Games GmbH,fulltime berlin deengineering data kolibri games mobile games developer berlin two games 100 million downloads mission become playercentric games studio believe players creating values learning believe people strive offer fair recruitment process great candidate experience well friendly environment work plenty opportunities learn grow help us bring joy people promise fun junior data analyst fmd data critical datadriven company kolibri games looking junior game data analyst shape way use data ideal candidate passionate creating using accurate data visualizations identify trends build trust game developers product managers marketing alike work closely data platform team help standardize govern truly understand wide breadth data collect create analyze downtoearth ingame metrics offer insights ensure everything data related makes sense service making data key part winning formula becoming playercentric games studio responsibilities work data platform ensure data highquality used stakeholders logical way provide enduser friendly visualizations insights product managers game designers leadership marketing synthesize data new insightful metrics help us challenge status quo pursuit growth encourage data usage throughout company sharing insights reports data driven facts help end users make smarter decisions manage govern data types events kpi definitions use company required skills previous experience using data visualisation tools looker tableau similar expertise sql familiarity either python r similar ability understand data communicate coherent manner technical well nontechnical team members ability work within fastpaced environment benefits game support competitive salary believe top performers receive top payment training budget believe learning generous personal learning budget spend learning development including books workshops attending conferences also offer inhouse training coding german classes flexible working hours home office believe good worklife balance equipment stateoftheart technical equipment including laptops phones may also used free time health fitness pay 50 towards monthly gym membership fitness activity relocation relocation support help move berlin pension opportunity save pension taxfree bonus level love good time food drinks fresh fruits keep healthy fresh coffee keep alert also fully stocked fridge smoothies coke club mate beer etc parties team events apart regular parties bbqs movie nights also team event budget use buy games sports equipment make working even fun company holidays every year go amazing company holiday relax bond team last summer went greece friday celebrations companyprovided dinner drinks friday afternoons kolibri games equal opportunity employer come 25 different countries many different backgrounds celebrate diversity committed creating inclusive environment employees regardless age gender identity sexual orientation ethnicity religion physical appearance disability international studio dont forget send application english although mandatory always appreciate cover letter stating motivation join us look forward hearing perks training budget flexible working hours home office travel relocation,English,252,663,4279
7,8,Intelligence Analyst,Pinkerton,intelligence analyst provides input expertise intelligence matters including processes support requirements technical aspects operational methods details essential functions functions listed describe business purpose job specific duties tasks may vary documented separately employee might required perform functions listed additional duties may assigned functions may modified according business necessity assigned duties tasks deemed part essential functions unless duties tasks unrelated functions listed case deemed nonessential functions employees held accountable successful job performance job performance standards may documented separately may include functions objectives duties tasks specifically listed herein performing functions duties tasks employees required know follow safe work practices aware company policies procedures related job safety including safety rules regulations employees required notify superiors upon becoming aware unsafe working conditions functions duties tasks carried honest ethical professional manner performed conformance applicable company policies procedures event uncertainty lack knowledge company policies procedures employees required request clarification explanations superiors authorized company representatives essential functions include represent pinkertons core values integrity vigilance excellence respond timely manner requests intelligence information correlate intelligence contextual data cases data used preparing briefing materials presentation briefings drafting information papersarticles intelligence issues review verify information intelligence reports alert notices crime prevention surveys reports required disseminate data via reports analytical products appropriate client staff members provide advice counsel provide recommendations appropriate responses based upon thorough accurate analysis supervisors assigned intelligence coordinators assess maintain variety situational awareness tools quickly accurately advise decisionmakers possible courses action review utilize diagnostic tools technology develop complex data compilations research evaluate integrate analyze allsource data preparation presentation clear concise indepth intelligence analytical products focus threats operations research development production delivery systems doctrine capabilities prepared response collection tasking requirements perform research analysis reporting threat environments directed may represent organization preparation presentation security related information intelligence briefings conferences working groups planning sessions directly support travel protection initiatives preparation location threat briefs serve professional representative company protecting client interests duties assigned minimum hiring standards additional qualifications may specified receive preference depending upon nature position must reifezeugnisabitur equivalent must willing participate companys preemployment screening process including drug testing andor background investigation must meet countrys age requirement must reliable means communication ie email cell phone must reliable means transportation public private must legal right work germany must ability speak read write english educationexperience bachelors degree three five years related experience equivalent combination education experience sufficient perform essential functions job determined company competencies additional language skills preferred russian arabic experience geopolitics international affairs political science philosophy security intelligence strategic analysis etc able develop recommend policy initiatives appropriate client needs able organize implement various client specific programs efficient effective manner meeting deliverables deadlines able evaluate recommend changes intelligence operations methods demonstrated analytical expertise accurately draw conclusions synthesizing raw data information multiple unrelated sources finished comprehensive product able identify solve complex problems exceptional timestress management skills able carry responsibilities little supervision times adverse situations able present defend intelligence positions variety audiences including staff representatives members board interact effectively levels organization across diverse cultural language barriers computer skills microsoft office working conditions without reasonable accommodation requires physical mental capacity perform effectively essential functions addition demands demands job include must undergo meet company standards background reference checks drug testing andor behavioral selection survey maintain composure dealing authorities executives clients staff public occasionally conditions urgency pressure situations exposure sensitive confidential information regular computer usage ability handle multiple tasks concurrently must able see hear speak write clearly order communicate employees andor customers manual dexterity required occasional reaching lifting small objects operating office equipment close distance vision ability adjust focus frequent sitting travel required pinkerton equal opportunity employer provides equal opportunity applicants positions without regard raceethnicity color national origin ancestry sexgender gender identityexpression sexual orientation maritalprenatal status pregnancychildbirth related conditions religion creed age disability genetic information veteran status protected status local state federal countryspecific law,English,297,864,6793
9,10,Data Analyst (m/f/d),Cortado Holding AG,data analyst mwd cortado corporate group headquartered berlin looking data analyst evaluate marketing sales data software solutions tasks include independently develop ideas create added value existing new data sources actively seek direct exchange requirements individual departments create new kpis implement analysis dashboards enable us make faster better decisions develop dashboards deliver relevant information actionable insights create ad hoc reports dashboards derive actionoriented insights offer experience google analytics power bi nicetohave work experience statistics business intelligence data warehouse cando attitude receiving task implementation analytical mind combined ability clearly express recommendations practical implementation professional working proficiency german english offer flexible familyfriendly working hours childcare subsidies smartphone sponsorship employee stock purchase plan team events company pension scheme cortado bikepass company ebike use dynamic open working atmosphere flat hierarchies short decision paths large bright offices directly spree river berlins tiergarten district easily accessible bicycle bus rail large cafeteria free organicquality drinks games console lounge breaks sporty employees even showers look forward receiving application questions simply contact jeannette boidol phone 49 030 408 198 700 information careers cortado holding group companies well current vacancies make sure visit career page,English,88,251,1862
10,11,Data Analyst (f/m/div),Penta,penta penta mission simplify business banking allowing business owners focus things really love open bank account online minutes get debit cards employees send affordable foreign transfers easily integrate accounting solution penta 17000 businesses use penta today growing quickly currently looking data analyst fmdiv hq berlin role set enhance extend expand knowledge product performance heighten understanding end customers data delivering powerful insights across company dashboards reports analyses part journey become europes wanted business bank account job description looking experienced data analyst proficient sql developing intuitive dashboards tableau similar wrangling data data driven passion data business nose details primary focus developing dashboards provide insights key stakeholders across company create adhoc analysis reports optimize data related processes part data analytics house active participant integral piece shaping data culture within penta reporting data house lead committed collaboration within team across departments problem solver like challenges love finding solutions even minimum 3 years working data analyst business intelligence analyst similar role strong proficiency sql preferably postgresql expertise building dashboards running analyses tableau power bi similar bachelors masters preferably computer science business intelligence analytics business finance related discipline high analytical skills ability clean scrutinize investigate data translate meaningful reports insights highlevel information strong communication skills english written verbal including ability clearly articulate messages selfstarter team player able work high levels pressure challenging deadlines nice experience working fintech payments similar coding experience python r data wrangling packages experience githubgitlab expect us work within growing team level autonomy paired flat hierarchy room develop great office atmosphere ability change way banking works smes working great team amazing employer benefits fully reimbursed bvg public transport card companywide events believe hard work success deserve celebrated office strong network companies experts part finleap family europes no1 fintech ecosystem choice computer personal learning budget,English,173,442,3018
